"Title","Year","Link","Author Keywords"
"Free vibration analysis of a laminated trapezoidal plate with GrF-PMC core and wavy CNT-reinforced face sheets","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168546510&doi=10.12989%2fscs.2023.48.3.275&partnerID=40&md5=ae842b23f65e1573d90c512f4720a9ea","3D graphene foam; Generalized Differential Quadrature (GDQ) method; laminated trapezoidal plates; vibrational analysis; wavy CNT-reinforcement"
"Toward regulating biodegradation in stages of polyurethane copolymers with bicontinuous microphase separation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151071209&doi=10.1039%2fd3tb00011g&partnerID=40&md5=b19bed1ef52f4e95a3152b133e4bb11b",""
"Synergetic Effect of Electrical and Topographical Cues in Aniline Trimer-Based Polyurethane Fibrous Scaffolds on Tissue Regeneration","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153930197&doi=10.3390%2fjfb14040185&partnerID=40&md5=658582e51c09008b1daaf766167026ba","conductive polyurethane; electrical and topographical cues; fibrous scaffolds; oligoaniline; tissue regeneration"
"Manufacturing of scaffolds with interconnected internal open porosity and surface roughness","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135492921&doi=10.1016%2fj.actbio.2022.07.017&partnerID=40&md5=7d8c1ebea6ad111cb6eb5513ea45e536","Additive manufacturing; Bone tissue regeneration; Microfoams; Scaffolds; Stem cells"
"Freeze-Casted Keratin Matrix as an Organic Binder to Integrate Hydroxyapatite and BMP2 for Enhanced Cranial Bone Regeneration","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144355024&doi=10.1002%2fadhm.202201886&partnerID=40&md5=b0af496ca09c4b98c4d479fe69c6200f","BMP2; bone regeneration; HA; ice template; keratin"
"Creating interior support structures with Lightweight Voronoi Scaffold","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145603197&doi=10.1007%2fs12008-022-01182-8&partnerID=40&md5=d20da1aaf6eeefb82458f72aceda2e2b","3D printing; Beams; Cellular geometric structure; Cellular materials; Digital design and simulation"
"Selection and evolution of disulfide-rich peptides via cellular protein quality control","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151038852&doi=10.1039%2fd2sc05343h&partnerID=40&md5=ba0b031357baaeb66fd0d174a6ca1185",""
"Morphology, Porosity, and Biodegradation of PVA/PEG/Chitosan Nanofiber Scaffolds for Skin Tissue Engineering","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147285161&doi=10.1063%2f5.0111554&partnerID=40&md5=f82ac59d7283375de2c15d9a123d86af",""
"Molecular mechanisms of AMPAR reversible stabilization at synapses","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154038324&doi=10.1016%2fj.mcn.2023.103856&partnerID=40&md5=3f3439c17ea2f26c9c11ab521cf92e4e","AMPA receptors; Auxiliary subunits; Glutamatergic transmission; Synaptic plasticity; TARP"
"A SAR and QSAR study on cyclin dependent kinase 4 inhibitors using machine learning methods","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168667755&doi=10.1039%2fd2dd00143h&partnerID=40&md5=1cf8105f11e1254200f592d56673afeb",""
"Nanofiber Induced Silk Fibroin Nanofiber/Silk Fibroin (SFNF/SF) Fibrous Scaffolds for 3D Cell Culture","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148245930&doi=10.1007%2fs12221-023-00113-y&partnerID=40&md5=4b5bdec4a587b3767d08fff738506d63","Cell migration; Fast freeze-drying technology; Fibrous scaffold; Nanofibers; Silk fibroin"
"A flexible design framework to design graded porous bone scaffolds with adjustable anisotropic properties","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148333257&doi=10.1016%2fj.jmbbm.2023.105727&partnerID=40&md5=4d63996d2168dd9131f90d7edf9121e7","Additive manufacturing; Bone repair; Finite element method; Graded scaffolds; Material by design; Metamaterials; Open-cell structures; Stereolithography"
"The effect of bottleneck size on evolution in nested Darwinian populations","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147092788&doi=10.1016%2fj.jtbi.2023.111414&partnerID=40&md5=937468b856c06b484d6cd6fd70ede209","Ecological scaffolding; Evolutionary transition in individuality; Major transition; Stochastic model"
"Effect of surface structure on the antithrombogenicity performance of poly(-caprolactone)-cellulose acetate small-diameter tubular scaffolds","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143652299&doi=10.1016%2fj.ijbiomac.2022.11.315&partnerID=40&md5=67ac0a1e0ad47ad8e982d6886efcdf29","Small-diameter; Surface structure; Tubular scaffold"
"A morphological, topological and mechanical investigation of gyroid, spinodoid and dual-lattice algorithms as structural models of trabecular bone","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142520527&doi=10.1016%2fj.jmbbm.2022.105584&partnerID=40&md5=9e12d221de36c5799d91822abf237372","Computational modelling; Dual-lattice; Gyroid; Spinodoid; Trabecular bone; Trabecular structure"
"Does the Choice of Acellular Scaffold and Augmentation With Bone Marrow Aspirate Concentrate Affect Short-term Outcomes in Cartilage Repair? A Systematic Review and Meta-analysis","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125730079&doi=10.1177%2f03635465211069565&partnerID=40&md5=aab3ae17661204f8ba71ef3464d9e3cb","bioscaffolds; cartilage injury; cartilage repair; meta-analysis"
"Novel stereological method for estimation of cell counts in 3D collagen scaffolds","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159766258&doi=10.1038%2fs41598-023-35162-z&partnerID=40&md5=0be2a255b6458732bc2ab8bbf3714d46",""
"High throughput screening of single atomic catalysts with optimized local structures for the electrochemical oxygen reduction by machine learning","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150865747&doi=10.1016%2fj.jechem.2023.02.045&partnerID=40&md5=cb7233800c21fe6da831d078048808ef","Coordination sphere; High throughput screening; Machine learning; Oxygen reduction reaction; Single atomic catalysts"
"Microscale 3D Printing and Tuning of Cellulose Nanocrystals Reinforced Polymer Nanocomposites","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143230437&doi=10.1002%2fsmll.202202470&partnerID=40&md5=caf59c50e3463b6bee7a0a9d8f81b761","cellulose nanocrystals (CNCs); degree of conversion; Halpin–Tsai composite model; micromechanics; microscale 3D printing (two-photon polymerization); reinforced polymer nanocomposites; sustainable reinforcements"
"A Computational Pipeline to Optimize 3D Scaffolds for Cancer Immunotherapy","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165000356&doi=10.1016%2fB978-0-443-15274-0.50430-3&partnerID=40&md5=3df2807df8f27836a2c65025dc1b29cb","Cancer Immunotherapy; Network Design; Process Management"
"A Model of Mechanotransduction in Polyvinyl Alcohol-Based Composite Hydrogels for Regulating Musculoskeletal Differentiation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160321170&doi=10.1002%2fmame.202300035&partnerID=40&md5=f4e6aa4566c809e305710160cc787805","composites; differentiation; hydrogels; mechanotransduction; polyvinyl alcohol; stem cells"
"Spherical rotary cell seeding system for production of small-caliber tissue-engineered blood vessels with complex geometry","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148764657&doi=10.1038%2fs41598-023-29825-0&partnerID=40&md5=68ba2cf9adca181fbe9015e9fda49244",""
"Development of antibacterial and morphological features of scaffolds based on polycaprolactone encapsulated with copper oxide/vanadium oxide for wound dressing applications","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162976944&doi=10.1016%2fj.ceramint.2023.04.088&partnerID=40&md5=4a010cc552a22c024d7cc57280df5c2c","CuO; Ginger; Polycaprolactone; V<sub>2</sub>O<sub>5</sub>; Wound bandages; Wound dressing"
"Influence of junction resistance on spatiotemporal dynamics and reservoir computing performance arising from an SWNT/POM 3D network formed via a scaffold template technique","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150509508&doi=10.1039%2fd2nr04619a&partnerID=40&md5=4178a308b45b765127debdeef15c889b",""
"Artificial neural network-based pore size prediction of alginate gel scaffold for targeted drug delivery","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140972215&doi=10.1007%2fs00521-022-07958-z&partnerID=40&md5=9fdb25b7ce5698785ebb11c7f2d7374c","Alginate gel scaffold; Artificial neural network; k-nearest neighbor; Particle size; Random forest; Support vector regression; Surface tension"
"Probing juxtaposed G-quadruplex and hairpin motifs using a responsive nucleoside probe: a unique scaffold for chemotherapy","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159160168&doi=10.1039%2fd3sc00519d&partnerID=40&md5=d0c035c581a5a82b5f32ee8c0bf07518",""
"Investigation of human hair keratin-based nanofibrous scaffold for skin tissue engineering application","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168141216&doi=10.1007%2fs13346-023-01396-7&partnerID=40&md5=e167345e495a2f2b2df8b3895039b647","Biomaterials; Electrospinning; Keratin; Nanofiber scaffolds; Skin tissue engineering"
"Fabrication, Microstructures and Sensor Applications of Highly Ordered Electrospun Nanofibers: A Review","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159350830&doi=10.3390%2fma16093310&partnerID=40&md5=1e2a9209c5ecc93ccacacddddf7d9cba","electrospun nanofibers; fabrication; highly ordered; microstructure; sensor application"
"Three-Dimensional Printed Polycaprolactone Mesh in Pediatric Cranial Vault Remodeling Surgery","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147604348&doi=10.1097%2fSCS.0000000000009133&partnerID=40&md5=3800c8360891de8e136eaeeed142cb6f","3d printing; Cranial vault remodeling; craniosynostosis; polycaprolactone; tissue engineering"
"Stochastic simulations of self-organized elastogenesis in the developing lung","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164209784&doi=10.1371%2fjournal.pcbi.1011219&partnerID=40&md5=9c7fba8dc7374a53a9d104b19ea72650",""
"Analysis of gelatin secondary structure in gelatin/keratin-based biomaterials","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147549009&doi=10.1016%2fj.molstruc.2023.134984&partnerID=40&md5=dad9f0f6e55bcf7f9e1088a9abe19133","Bioactivity; Electrospun; Gelatin; Infrared spectroscopy; Mechanical properties; Protein secondary structure"
"LassoHTP: A High-Throughput Computational Tool for Lasso Peptide Structure Construction and Modeling","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146028390&doi=10.1021%2facs.jcim.2c00945&partnerID=40&md5=ca462d342ef2d751cebace213bec2471",""
"Two-dimensional interfacial diffusion model of inhibitory synaptic receptor dynamics","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165697521&doi=10.1098%2frspa.2022.0831&partnerID=40&md5=d7b829c2e16f3f2d10d5b526c2a885ae","diffusion; liquid-liquid phase separation; semi-permeable membranes; synapses"
"Poly-ε-Caprolactone/Propolis Electrospun Yarns as Suture","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164188763&doi=10.1007%2fs12221-023-00257-x&partnerID=40&md5=c18ab0e6a7545d57aabc25e5f037d582","Electrospinning; Poly-ε-caprolactone; Propolis; Suture"
"Integrated Manufacturing of Suspended and Aligned Nanofibrous Scaffold for Structural Maturation and Synchronous Contraction of HiPSC-Derived Cardiomyocytes","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163770663&doi=10.3390%2fbioengineering10060702&partnerID=40&md5=151016dc43d20cf1383a3a98ddd5a54b","aligned nanofibers; anisotropic cardiac tissue; electrospinning; hiPSC-derived cardiomyocytes; maturation; suspended nanofibers"
"3D gel-printing of hierarchically porous BCP scaffolds for bone tissue engineering","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146319147&doi=10.1016%2fj.jeurceramsoc.2023.01.010&partnerID=40&md5=0404a02c411dfd83ed0bcc4e90857763","3D printing; Bone tissue; Hierarchically porous scaffolds"
"Aligned lovastatin-loaded electrospun nanofibers regulate collagen organization and reduce scar formation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152930175&doi=10.1016%2fj.actbio.2023.04.015&partnerID=40&md5=df7422b49b96bd912678f9740d847342","Electrospun nanofiber; Lovastatin; Mechanotransduction; Scar; Tension"
"Random and aligned electrostatically spun PLLA nanofibrous membranes enhance bone repair in mouse femur midshaft defects","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147439766&doi=10.1177%2f08853282221144220&partnerID=40&md5=eb9be1830706a593a57fabb6b57c1ba6","alignment; bone repair; electrostatically spun; Femur midshaft defect; PLLA nanofibrous membranes"
"Exploring the Chemical Space of CYP17A1 Inhibitors Using Cheminformatics and Machine Learning","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149053552&doi=10.3390%2fmolecules28041679&partnerID=40&md5=28dbefe3971189bbe661e437a96e1628","cheminformatics; CYP17A1; Murcko scaffold; prostate cancer; quantitative structure–activity relationship"
"Quantifying the Morphology and Mechanisms of Cancer Progression in 3D In-Vitro Environments: Integrating Experiments and Multiscale Models","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140708966&doi=10.1109%2fTBME.2022.3216231&partnerID=40&md5=3907bc92b86d2bacfefd26dbe3279f1c","3D cell cultures; confocal microscopy; multiscale models; spatiotemporal model validation"
"Analysis of CheW-like domains provides insights into organization of prokaryotic chemotaxis systems","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132148836&doi=10.1002%2fprot.26430&partnerID=40&md5=f3fff88b2bb67e980ccdaaec7c6deff2","bacterial chemotaxis systems; CheA; CheV; CheW; CheW-like domains"
"Silk Fibroin Bioink for 3D Printing in Tissue Regeneration: Controlled Release of MSC extracellular Vesicles","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149133547&doi=10.3390%2fpharmaceutics15020383&partnerID=40&md5=4ec79f641eb1f79adf68aaaf6e4e2572","3D bioprinting; bioink; controlled release; MSC-extracellular vesicles; MSC-secretome; silk fibroin; sodium alginate"
"Roles of irregularity of pore morphology in osteogenesis of Voronoi scaffolds: From the perspectives of MSC adhesion and mechano-regulated osteoblast differentiation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150454315&doi=10.1016%2fj.jbiomech.2023.111542&partnerID=40&md5=aac4ce06d6f3af7205fd99d79ca62bb9","Cell adhesion; Irregularity of pore morphology; Mechano-regulated differentiation; Mesenchymal stem cells; Osteogenesis efficiency; Voronoi scaffold"
"An Improved Machine Learning-Based Approach to Assess the Microbial Diversity in Major North Indian River Ecosystems","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160378095&doi=10.3390%2fgenes14051082&partnerID=40&md5=8c6393c55b32b2ceb48598783d9134ae","binning; K-Means clustering; metagenomics; river sediment; support vector machine"
"CysPresso: a classification model utilizing deep learning protein representations to predict recombinant expression of cysteine-dense peptides","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159438059&doi=10.1186%2fs12859-023-05327-8&partnerID=40&md5=bc1aa4d2cfd472cbd57d6d84a29463ea","AlphaFold; Cysteine-dense peptide; Deep learning; Knottin; Protein representation; Recombinant expression"
"Novel Nanostructured Scaffolds of Poly(butylene trans-1,4-cyclohexanedicarboxylate)-Based Copolymers with Tailored Hydrophilicity and Stiffness: Implication for Tissue Engineering Modeling","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168874143&doi=10.3390%2fnano13162330&partnerID=40&md5=b6ae30f5bc8cd423d85efdfeb07702af","adult human multipotent mesenchymal/stromal cells; biocompatibility; electrospun scaffolds; ether linkages; flexibility; hydrophilicity; mechanical properties; poly(butylene trans-1,4-cyclohexanedicarboxylate); stem cells culture"
"eDNA Provides a Scaffold for Autoaggregation of B. subtilis in Bacterioplankton Suspension","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149041336&doi=10.3390%2fmicroorganisms11020332&partnerID=40&md5=c951d613ed3bb99c8d85cc4a52ad51e4","autoaggregates; B. subtilis; biofilm; eDNA; plankton"
"Synthesis, Characterization, and Digital Light Processing of a Hydrolytically Degradable Hyaluronic Acid Hydrogel","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144306432&doi=10.1021%2facs.biomac.2c01218&partnerID=40&md5=2b1ce24fd6471f56d8f8cd00f9e26dea",""
"Predicting Critical Properties and Acentric Factors of Fluids Using Multitask Machine Learning","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167797720&doi=10.1021%2facs.jcim.3c00546&partnerID=40&md5=2b75e969def785d7bf8734981d9ba82d",""
"Engineering a Ligase Binding DNA Aptamer into a Templating DNA Scaffold to Guide the Selective Synthesis of Circular DNAzymes and DNA Aptamers","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146632943&doi=10.1021%2fjacs.2c12666&partnerID=40&md5=499aab64ce45c3c8b9256e4bf9644178",""
"PIP2 Alteration Caused by Elastic Modulus and Tropism of Electrospun Scaffolds Facilitates Altered BMSCs Proliferation and Differentiation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150940346&doi=10.1002%2fadma.202212272&partnerID=40&md5=9f35a0c485b9fec181fef332aaa49d4d","aligned-random fibers; differentiation; proliferation; tissue engineering"
"Molecular characterization of colorectal adenoma and colorectal cancer via integrated genomic transcriptomic analysis","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167362314&doi=10.3389%2ffonc.2023.1067849&partnerID=40&md5=58d3eb687e8f23df65e2096a8a2586a4","colorectal adenoma; colorectal cancer; monitor; multi-omics; random forest; screening"
"Cooperative assembly of a designer peptide and silk fibroin into hybrid nanofiber gels for neural regeneration after spinal cord injury","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162755625&doi=10.1126%2fsciadv.adg0234&partnerID=40&md5=e505ca4767d8b790f449132f3bcf6102",""
"Enhancing the osteogenic differentiation of aligned electrospun poly(L-lactic acid) nanofiber scaffolds by incorporation of bioactive calcium silicate nanowires","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143274567&doi=10.1016%2fj.ijbiomac.2022.11.224&partnerID=40&md5=ddc9f3f9dd1fe72af38f1b09456e555f","Calcium silicate nanowires; Electrospun fibrous membranes; Poly (L-lactic acid)"
"3D foam printing by physical blowing agent","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161414930&doi=10.1063%2f5.0137899&partnerID=40&md5=6ff928eafad498bd7edf643809d6a84a",""
"Visualization of porosity and pore size gradients in electrospun scaffolds using laser metrology","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149645452&doi=10.1371%2fjournal.pone.0282903&partnerID=40&md5=d0787fb698e530a2d647578058f64bfb",""
"Single-Molecule Localization Microscopy of Presynaptic Active Zones in Drosophila melanogaster after Rapid Cryofixation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147894394&doi=10.3390%2fijms24032128&partnerID=40&md5=3a545eb5d4429bd59bb1ec3796a50ce6","active zone; Drosophila melanogaster; dSTORM; high-pressure freezing/freeze substitution; nanotopology; neuromuscular junction; PFA in ethanol"
"3D Tortuosity and Diffusion Characterization in the Human Mineralized Collagen Fibril Using a Random Walk Model","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160732277&doi=10.3390%2fbioengineering10050558&partnerID=40&md5=eff096a6672bbbad4df19f81fbda80d6","diffusivity; mineralized collagen fibril; random walk; tortuosity"
"Generation and structure-activity relationships of novel imidazo-thienopyridine based TLR7 agonists: application as payloads for immunostimulatory antibody drug-conjugates","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163313289&doi=10.1016%2fj.bmcl.2023.129348&partnerID=40&md5=ad090a6bea356a1281c29bbfd5cd13df","Antibody drug-conjugates; Immunostimulants; ISAC; TLR7"
"Identification of Potential p38γ Inhibitors via In Silico Screening, In Vitro Bioassay and Molecular Dynamics Simulation Studies","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158060303&doi=10.3390%2fijms24087360&partnerID=40&md5=3b6edbd07da1d7642d2280db42d5d887","binding interaction; molecular dynamic simulations; p38γ; QSAR modelling; virtual screening"
"The development of a modular design workflow for 3D printable bioresorbable patient-specific bone scaffolds to facilitate clinical translation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169670198&doi=10.1080%2f17452759.2023.2246434&partnerID=40&md5=973fc6e47692c1cfed808b74101a8bfe","3D printing; Design workflow; generative design; patient-specific; scaffold-guided bone regeneration; scaffolds; Voronoi"
"Inkjet-printed 3D micro-ring-electrode arrays for amperometric nanoparticle detection","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147816451&doi=10.1039%2fd2nr05640b&partnerID=40&md5=849b7a18711e827be69760ab73d2a775",""
"Shape-memory responses compared between random and aligned electrospun fibrous mats","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147649360&doi=10.3389%2ffbioe.2023.1130315&partnerID=40&md5=2649a1956851e358b3e15bc80eac0199","electrospinning; mechanoactive scaffold; osteogenic differentiation; shape-memory polymers; temperature memory effect"
"Butterfly metamorphosis inspired injectable in situ forming scaffolds with time-dependent pore formation for bone regeneration","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153110567&doi=10.1007%2fs10853-023-08466-8&partnerID=40&md5=04a23a92bda532021777b516bb65cff2",""
"HyperMinHash: MinHash in LogLog Space (Extended Abstract)","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167718151&doi=10.1109%2fICDE55515.2023.00367&partnerID=40&md5=7a924b7f56a11d823edfd864869df5a2","compression; hyperloglog; min-wise hashing; sketching; streaming"
"Linear time complexity de novo long read genome assembly with GoldRush","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159791137&doi=10.1038%2fs41467-023-38716-x&partnerID=40&md5=e5315bac009b65783dfdbbe702d1199b",""
"Stress-weighted centroidal Voronoi tessellation for structural design","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145351002&doi=10.1016%2fj.finel.2022.103905&partnerID=40&md5=4e7f002f835aa86f604c0b88797874ae","Generative design; Optimization; Stress-weighted centroid; Structural design; Volume redistribution; Voronoi tessellation"
"Nanoscale reorganisation of synaptic proteins in Alzheimer's disease","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166669881&doi=10.1111%2fnan.12924&partnerID=40&md5=323851941d08054ac83a2a7e1ead9d36","Alzheimer's disease; amyloid-β; stochastic optical reconstruction microscopy; super-resolution microscopy; synaptic nanodomain architecture"
"Development of machine learning models based on molecular fingerprints for selection of small molecule inhibitors against JAK2 protein","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150782710&doi=10.1002%2fjcc.27103&partnerID=40&md5=7e90b1da4d37bf6ec0f0f6b403d51a83","JAK2; machine learning; Morgan fingerprints; scaffolds; virtual screening"
"Composite Graded Melt Electrowritten Scaffolds for Regeneration of the Periodontal Ligament-to-Bone Interface","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149128536&doi=10.1021%2facsami.2c21256&partnerID=40&md5=a270c167f70541a3ada93e808c661ba0","bone regeneration; interface; melt electrowriting; periodontal ligament; periodontitis"
"Technology-scaffolded peer assessment for developing critical thinking in pre-service teacher training: the importance of giving feedback","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143335091&doi=10.1007%2fs11423-022-10173-1&partnerID=40&md5=43a083dc120c9251823306ae9f65a0ae","Critical thinking; Giving feedback; Peer assessment; Pre-service teachers; Technological scaffolding"
"The ad hoc chemical design of random PBS-based copolymers influences the activation of cardiac differentiation while altering the HYPPO pathway target genes in hiPSCs","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168556945&doi=10.1016%2fj.bioadv.2023.213583&partnerID=40&md5=d1e4d6c476bc6f194241c087e8d4c324","Aliphatic polyesters; Cardiac differentiation; Electrospun scaffolds; Human induced pluripotent stem cells; HYPPO pathway; Poly(butylene succinate)"
"Structural changes in chromosomes driven by multiple condensin motors during mitosis","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151570050&doi=10.1016%2fj.celrep.2023.112348&partnerID=40&md5=974c47e6647af3716c5ecb8e37c23d08","CP: Molecular biology; Hi-C-polymer-physics structures; HIPPS; loop extrusion; mitotic chromosomes; multiple condensin motors; random helix perversion; scrunching mechanism; symmetric and asymmetric loop extrusion"
